,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,survey_low,survey_high,survey_medium,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
315,11.0,10.0,6.0,5.63,5.87,5.98,0.2,0.48,0.54,0.25,0.75,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.0343,0.5876,0.1632,0.0,0.0,1.0,0.0,0.7291666666666666,0.27083333333333337,0.0,0.9629629629629637,0.037037037037036244
316,11.0,20.0,6.6,5.65,6.59,6.62,0.22,0.5,0.54,0.25,0.75,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.039749999999999994,0.5599500000000001,0.195,0.0,0.0,1.0,0.0,0.9800000000000004,0.019999999999999574,0.03703703703703789,0.9629629629629621,0.0
317,11.0,0.0,6.0,5.83,5.82,5.8,0.4,0.52,0.54,0.25,0.75,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.0,1.0,0.028900000000000002,0.57745,0.17370000000000002,0.0,0.5750000000000005,0.42499999999999943,0.0,0.6538461538461541,0.34615384615384587,0.0,0.6296296296296293,0.3703703703703707
318,11.0,10.0,5.2,5.88,5.19,5.06,0.4,0.43,0.54,0.25,0.75,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.0271,0.58265,0.18989999999999999,1.0,0.0,0.0,0.0,0.9767441860465121,0.023255813953487893,0.0,0.7407407407407397,0.2592592592592603
319,11.0,20.0,5.0,5.87,5.21,5.0,0.43,0.43,0.54,0.25,0.75,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0197,0.5841,0.18100000000000002,1.0,0.0,0.0,0.488372093023256,0.5116279069767439,0.0,1.7253688174025332e-12,0.9999999999965492,1.7253688174025334e-12
320,12.0,20.0,3.7,5.77,4.01,3.53,0.53,0.53,0.55,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.013157894736842117,0.986842105263158,0.020099999999999996,0.57655,0.2054,1.0,0.0,0.0,0.5849056603773575,0.4150943396226425,0.0,0.0,0.6909090909090905,0.30909090909090964
321,12.0,10.0,2.8,5.42,3.3,2.82,0.94,0.53,0.55,0.0,1.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.6052631578947371,0.3947368421052629,0.032299999999999995,0.5581499999999999,0.2029,1.0,0.0,0.0,0.9433962264150939,0.0566037735849061,0.0,0.03636363636363638,0.9636363636363636,0.0
322,12.0,20.0,2.2,4.88,2.11,2.28,1.29,0.53,0.55,0.0,1.0,0.0,0.0,0.5,0.5,6.23501250240734e-13,0.9999999999989663,4.101981909478514e-13,0.0206,0.5405000000000001,0.2756,1.0,0.0,0.0,0.0,0.8301886792452824,0.1698113207547176,0.14545454545454475,0.8545454545454553,0.0
323,12.0,0.0,1.7,4.15,1.95,1.81,1.36,0.5,0.55,0.0,1.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.5000000000000001,0.4999999999999999,0.0,0.0325,0.55975,0.2238,1.0,0.0,0.0,0.5,0.5,0.0,0.20000000000000015,0.7999999999999998,0.0
324,12.0,20.0,1.8,3.43,1.97,2.03,1.33,0.47,0.55,0.0,1.0,0.0,0.0,0.5,0.5,0.4,0.6,0.0,0.029500000000000002,0.5135000000000001,0.3024,1.0,0.0,0.0,0.3617021276595743,0.6382978723404257,0.0,0.4181818181818177,0.5818181818181822,0.0
