"";"year";"country";"gini";"e0"
"297";2003;"HUN";NA;76.6630002919976
"298";2004;"HUN";NA;77.1013992049439
"299";2005;"HUN";27.6;77.0742319745222
"300";2006;"HUN";33.3;77.5620741668654
"301";2007;"HUN";25.6;77.535583283074
"302";2008;"HUN";25.2;77.9888051350139
"303";2009;"HUN";24.7;78.1315523512417
"304";2010;"HUN";24.1;78.3278067847184
"305";2011;"HUN";26.9;78.4979171867693
"306";2012;"HUN";27.2;78.6207967777338
"307";2013;"HUN";28.3;79.0025981427417
"308";2014;"HUN";28.6;79.2456499024197
"309";2015;"HUN";28.2;78.8739484050881
"310";2016;"HUN";28.2;79.5722518546052
"311";2017;"HUN";28.1;79.2742494130377
"312";2018;"HUN";28.7;NA
"313";1995;"IRL";33;78.3156390821526
"314";1996;"IRL";33;78.7024157888755
"315";1997;"IRL";33;78.6754332271582
"316";1998;"IRL";34;79.085093435173
"317";1999;"IRL";32;78.8523958155127
"318";2000;"IRL";30;79.1896098227774
"319";2001;"IRL";29;79.7582471775688
"320";2002;"IRL";NA;80.2834216525339
"321";2003;"IRL";30.6;80.5699845032555
"322";2004;"IRL";31.5;80.9941985559858
"323";2005;"IRL";31.9;81.1788879270131
"324";2006;"IRL";31.9;81.5347785798478
"325";2007;"IRL";31.3;81.8399796275963
"326";2008;"IRL";29.9;82.0436058044356
"327";2009;"IRL";28.8;82.3990966844153
"328";2010;"IRL";30.7;82.7560559877703
"329";2011;"IRL";29.8;82.7735769963309
"330";2012;"IRL";30.4;82.8673044499976
"331";2013;"IRL";30.7;82.9950052030693
"332";2014;"IRL";31.1;83.3244939998008
"333";2015;"IRL";29.7;83.3091506836005
"334";2016;"IRL";29.6;83.4450555669326
"335";2017;"IRL";30.6;83.7389659287668
"336";2018;"IRL";28.9;NA
"337";1995;"ITA";33;81.3412610589319
"338";1996;"ITA";32;81.545077992829
"339";1997;"ITA";31;81.7816517728186
"340";1998;"ITA";31;81.8259595748129
"341";1999;"ITA";30;82.2016746956266
"342";2000;"ITA";29;82.5035210924048
"343";2001;"ITA";29;82.7927949109248
"344";2002;"ITA";NA;82.9691982107514
"345";2003;"ITA";NA;82.8784007332765
"346";2004;"ITA";32.9;83.7728092729118
"347";2005;"ITA";32.7;83.6764179030841
"348";2006;"ITA";32.1;84.0596004808321
"349";2007;"ITA";32;84.0455980769416
"350";2008;"ITA";31.2;84.1521632674597
"351";2009;"ITA";31.8;84.1964295244048
"352";2010;"ITA";31.7;84.5415268751307
"353";2011;"ITA";32.5;84.5792240268989
"354";2012;"ITA";32.4;84.5316324358504
"355";2013;"ITA";32.8;84.948317215276
