"";"year";"country";"gini";"e0"
"256";2010;"GBR";32.9;78.3581737529625
"257";2011;"GBR";33;78.7765967396497
"258";2012;"GBR";31.3;78.9563683264087
"259";2013;"GBR";30.2;78.9997753040313
"260";2014;"GBR";31.6;79.2508927050386
"261";2015;"GBR";32.4;79.0420186978244
"262";2016;"GBR";31.5;79.1768985341849
"263";2017;"GBR";33.1;NA
"264";2018;"GBR";34.2;NA
"265";1995;"HRV";NA;NA
"266";1996;"HRV";NA;NA
"267";1997;"HRV";NA;NA
"268";1998;"HRV";NA;NA
"269";1999;"HRV";NA;NA
"270";2000;"HRV";NA;NA
"271";2001;"HRV";NA;NA
"272";2002;"HRV";NA;71.0519350044481
"273";2003;"HRV";NA;71.0136754430176
"274";2004;"HRV";NA;71.8486017022802
"275";2005;"HRV";NA;71.7344230029316
"276";2006;"HRV";NA;72.3867119272384
"277";2007;"HRV";NA;72.1947687705589
"278";2008;"HRV";NA;72.2730467527537
"279";2009;"HRV";NA;72.7959438009629
"280";2010;"HRV";31.6;73.3838521338298
"281";2011;"HRV";31.2;73.7729089687847
"282";2012;"HRV";30.9;73.8468464828227
"283";2013;"HRV";30.9;74.3987842131767
"284";2014;"HRV";30.2;74.6327006888076
"285";2015;"HRV";30.4;74.3183863625892
"286";2016;"HRV";29.8;74.9126543879063
"287";2017;"HRV";29.9;74.8703567246086
"288";2018;"HRV";29.7;NA
"289";1995;"HUN";NA;65.4157454708171
"290";1996;"HUN";NA;66.2951339364012
"291";1997;"HUN";NA;66.6392652030803
"292";1998;"HUN";NA;66.4308667918772
"293";1999;"HUN";NA;66.6661866521203
"294";2000;"HUN";26;67.4874397096107
"295";2001;"HUN";25;68.1855190226737
"296";2002;"HUN";24;68.2848574996857
"297";2003;"HUN";NA;68.3259679080758
"298";2004;"HUN";NA;68.6630306462068
"299";2005;"HUN";27.6;68.6169751399843
"300";2006;"HUN";33.3;69.0807319673665
"301";2007;"HUN";25.6;69.2636672275968
"302";2008;"HUN";25.2;69.8345244041209
"303";2009;"HUN";24.7;70.1214367621269
"304";2010;"HUN";24.1;70.5723438907008
"305";2011;"HUN";26.9;71.1492548886523
"306";2012;"HUN";27.2;71.5518720755622
"307";2013;"HUN";28.3;72.1246985271953
"308";2014;"HUN";28.6;72.2606392843868
"309";2015;"HUN";28.2;72.2299543445844
"310";2016;"HUN";28.2;72.5630730020693
"311";2017;"HUN";28.1;72.5535919321121
"312";2018;"HUN";28.7;NA
"313";1995;"IRL";33;72.763041551015
"314";1996;"IRL";33;73.0636950236847
"315";1997;"IRL";33;73.3539788684916
"316";1998;"IRL";34;73.3956223332327
"317";1999;"IRL";32;73.426637805864
"318";2000;"IRL";30;73.9399187685331
"319";2001;"IRL";29;74.4896179841948
"320";2002;"IRL";NA;74.9577619050475
"321";2003;"IRL";30.6;75.6401124561209
"322";2004;"IRL";31.5;76.0075372300353
"323";2005;"IRL";31.9;76.6057009270973
"324";2006;"IRL";31.9;76.7711271292036
"325";2007;"IRL";31.3;77.2418502566892
"326";2008;"IRL";29.9;77.4736266158435
"327";2009;"IRL";28.8;77.6598783152376
"328";2010;"IRL";30.7;78.2535199000474
"329";2011;"IRL";29.8;78.4415362531109
"330";2012;"IRL";30.4;78.5940968282596
"331";2013;"IRL";30.7;78.9181518994108
"332";2014;"IRL";31.1;79.2485435811244
"333";2015;"IRL";29.7;79.5184016068496
"334";2016;"IRL";29.6;79.6572571216524
"335";2017;"IRL";30.6;80.0923043895931
"336";2018;"IRL";28.9;NA
"337";1995;"ITA";33;74.7795132238017
"338";1996;"ITA";32;75.1856171075962
"339";1997;"ITA";31;75.5361136037893
"340";1998;"ITA";31;75.6401590814005
"341";1999;"ITA";30;76.0594165431028
"342";2000;"ITA";29;76.5338092117047
"343";2001;"ITA";29;76.7956059592649
"344";2002;"ITA";NA;77.0782988166457
"345";2003;"ITA";NA;77.3198601045013
"346";2004;"ITA";32.9;78.062794215994
"347";2005;"ITA";32.7;78.1681567905858
"348";2006;"ITA";32.1;78.5777169067523
"349";2007;"ITA";32;78.7675553280938
"350";2008;"ITA";31.2;78.9746733474168
"351";2009;"ITA";31.8;79.166048392575
"352";2010;"ITA";31.7;79.560621251387
"353";2011;"ITA";32.5;79.7282900140492
"354";2012;"ITA";32.4;79.8387193773275
"355";2013;"ITA";32.8;80.253367233991
"356";2014;"ITA";32.4;80.5550290448659
"357";2015;"ITA";32.4;NA
"358";2016;"ITA";33.1;NA
"359";2017;"ITA";32.7;NA
"360";2018;"ITA";33.4;NA
"361";1995;"LTU";NA;63.2388412946018
"362";1996;"LTU";NA;64.6112834402272
"363";1997;"LTU";NA;65.4509140744215
"364";1998;"LTU";NA;65.9753693482104
"365";1999;"LTU";NA;66.3351071330973
"366";2000;"LTU";31;66.7382008002882
"367";2001;"LTU";31;65.9115045177441
"368";2002;"LTU";NA;66.1750005279583
"369";2003;"LTU";NA;66.4031436391636
"370";2004;"LTU";NA;66.2761699759046
"371";2005;"LTU";36.3;65.2063211841538
"372";2006;"LTU";35;65.0490105692434
"373";2007;"LTU";33.8;64.511320510278
"374";2008;"LTU";34.5;65.9213115047273
"375";2009;"LTU";35.9;67.1249879794605
"376";2010;"LTU";37;67.5504597495442
"377";2011;"LTU";33;68.0318586438779
"378";2012;"LTU";32;68.3819813567763
"379";2013;"LTU";34.6;68.5167533191334
"380";2014;"LTU";35;69.1198586596191
"381";2015;"LTU";37.9;69.1415274767072
"382";2016;"LTU";37;69.4607347195027
"383";2017;"LTU";37.6;70.7003623798414
"384";2018;"LTU";36.9;NA
"385";1995;"LUX";29;72.8823048528113
"386";1996;"LUX";28;73.1667251143204
"387";1997;"LUX";25;73.9415378006423
"388";1998;"LUX";26;73.6429634367805
"389";1999;"LUX";27;74.2787653168411
"390";2000;"LUX";26;74.4962366289661
"391";2001;"LUX";27;75.0591317948796
"392";2002;"LUX";NA;74.6062860451304
"393";2003;"LUX";27.6;NA
"394";2004;"LUX";26.5;76.0255423251388
"395";2005;"LUX";26.5;76.7387376931853
"396";2006;"LUX";27.8;76.8535521006832
"397";2007;"LUX";27.4;76.7356687411939
"398";2008;"LUX";27.7;78.097027603628
"399";2009;"LUX";29.2;78.1326774277402
"400";2010;"LUX";27.9;77.9552004832115
"401";2011;"LUX";27.2;78.397195654299
"402";2012;"LUX";28;78.8063340812496
"403";2013;"LUX";30.4;79.3975602379006
"404";2014;"LUX";28.7;79.1176793084742
"405";2015;"LUX";28.5;79.7203105651984
"406";2016;"LUX";31;79.8181127679095
"407";2017;"LUX";30.9;79.5927011030167
"408";2018;"LUX";33.2;NA
"409";1995;"LVA";NA;59.7032114583174
"410";1996;"LVA";NA;62.7234034795036
"411";1997;"LVA";NA;63.6182939034409
"412";1998;"LVA";NA;63.194368671151
"413";1999;"LVA";NA;64.1993393751395
"414";2000;"LVA";34;64.5314459359426
"415";2001;"LVA";NA;64.2583035466735
"416";2002;"LVA";NA;64.4306475963288
"417";2003;"LVA";NA;65.3460780804825
"418";2004;"LVA";NA;65.5970122719957
"419";2005;"LVA";36.2;64.9400915926985
"420";2006;"LVA";38.9;64.9576660754504
"421";2007;"LVA";35.4;65.2952853223242
"422";2008;"LVA";37.5;66.4508451782975
"423";2009;"LVA";37.5;67.4969744778494
"424";2010;"LVA";35.9;67.892565192276
"425";2011;"LVA";35.1;68.5478713267342
"426";2012;"LVA";35.7;68.8524618442261
"427";2013;"LVA";35.2;69.2610459195564
"428";2014;"LVA";35.5;69.0627552906912
"429";2015;"LVA";35.4;69.6761705285772
"430";2016;"LVA";34.5;69.7760214693619
"431";2017;"LVA";34.5;69.7876944200102
"432";2018;"LVA";35.6;NA
"433";1995;"NLD";29;74.5973086012663
"434";1996;"NLD";29;74.6500301626173
"435";1997;"NLD";26;75.1588201913999
"436";1998;"NLD";25;75.1775458820188
"437";1999;"NLD";26;75.329760207956
"438";2000;"NLD";29;75.5319295838004
"439";2001;"NLD";27;75.803186407455
"440";2002;"NLD";27;75.9889394253252
"441";2003;"NLD";NA;76.2409577237264
"442";2004;"NLD";NA;76.8695936182825
"443";2005;"NLD";26.9;77.1978988904982
"444";2006;"NLD";26.4;77.6294517229372
"445";2007;"NLD";27.6;78.014726141855
"446";2008;"NLD";27.6;78.3157217290338
"447";2009;"NLD";27.2;78.5348826389379
"448";2010;"NLD";25.5;78.7791908263508
"449";2011;"NLD";25.8;79.1951907387986
"450";2012;"NLD";25.4;79.1481228094435
"451";2013;"NLD";25.1;79.4184727887212
"452";2014;"NLD";26.2;79.8742151352159
"453";2015;"NLD";26.7;79.7403735185112
"454";2016;"NLD";26.9;79.8809452043606
"455";2017;"NLD";27.1;NA
"456";2018;"NLD";27.4;NA
"457";1995;"POL";NA;67.5568421459854
"458";1996;"POL";NA;68.0029426995714
"459";1997;"POL";NA;68.3031651710539
"460";1998;"POL";NA;68.6651650652083
"461";1999;"POL";NA;68.6324354667568
"462";2000;"POL";30;69.5270709229532
"463";2001;"POL";30;70.0559537282577
"464";2002;"POL";NA;70.3762983639793
"465";2003;"POL";NA;70.5716219174476
"466";2004;"POL";NA;70.7174629536912
"467";2005;"POL";35.6;70.8519347258307
"468";2006;"POL";33.3;71.0086631556484
"469";2007;"POL";32.2;71.03678370149
"470";2008;"POL";32;71.3266411249524
"471";2009;"POL";31.4;71.6069522690865
"472";2010;"POL";31.1;72.1564767056903
"473";2011;"POL";31.1;72.5147268657181
"474";2012;"POL";30.9;72.6230125712942
"475";2013;"POL";30.7;72.9815577646925
"476";2014;"POL";30.8;73.6606233905538
"477";2015;"POL";30.6;73.47481235906
"478";2016;"POL";29.8;73.8359966813224
"479";2017;"POL";29.2;NA
"480";2018;"POL";27.8;NA
"481";1995;"PRT";37;71.8613484707008
"482";1996;"PRT";36;71.7301621140542
"483";1997;"PRT";36;72.2948266479524
"484";1998;"PRT";37;72.4689627088756
"485";1999;"PRT";36;72.7280084164431
"486";2000;"PRT";36;73.2605169157638
"487";2001;"PRT";37;73.5836927118483
"488";2002;"PRT";NA;73.8627094378191
"489";2003;"PRT";NA;74.2180878958798
"490";2004;"PRT";37.8;74.9291095263445
"491";2005;"PRT";38.1;74.8724713225349
"492";2006;"PRT";37.7;75.4667893908963
"493";2007;"PRT";36.8;75.8747993549294
"494";2008;"PRT";35.8;76.2082343067063
"495";2009;"PRT";35.4;76.4764355031383
"496";2010;"PRT";33.7;76.7373146407205
"497";2011;"PRT";34.2;77.1819301766987
"498";2012;"PRT";34.5;77.2571917649999
"499";2013;"PRT";34.2;77.5152564844562
"500";2014;"PRT";34.5;77.9295462034051
"501";2015;"PRT";34;78.0338267178424
"502";2016;"PRT";33.9;NA
"503";2017;"PRT";33.5;NA
"504";2018;"PRT";32.1;NA
"505";1995;"SVK";NA;68.2610994016923
"506";1996;"SVK";NA;68.7110048754366
"507";1997;"SVK";NA;68.7204645881962
"508";1998;"SVK";NA;68.4604187329524
"509";1999;"SVK";NA;68.8483144660142
"510";2000;"SVK";NA;68.999384651762
"511";2001;"SVK";NA;69.4717128363727
"512";2002;"SVK";NA;69.7862491585958
"513";2003;"SVK";NA;69.8115964447185
"514";2004;"SVK";NA;70.3338242001306
"515";2005;"SVK";26.2;70.1940500783015
"516";2006;"SVK";28.1;70.4210386047485
"517";2007;"SVK";24.5;70.5962908185603
"518";2008;"SVK";23.7;70.8358209130728
"519";2009;"SVK";24.8;71.3893628838806
"520";2010;"SVK";25.9;71.7305914682119
"521";2011;"SVK";25.7;72.2614102864787
"522";2012;"SVK";25.3;72.4807966825456
"523";2013;"SVK";24.2;72.908575849774
"524";2014;"SVK";26.1;73.2495321649336
"525";2015;"SVK";23.7;73.0832461635254
"526";2016;"SVK";24.3;73.7511747872493
"527";2017;"SVK";23.2;73.7513879310511
"528";2018;"SVK";20.9;NA
"529";1995;"SVN";NA;70.723737915239
"530";1996;"SVN";NA;NA
"531";1997;"SVN";NA;71.0663018563149
"532";1998;"SVN";NA;71.2148002513549
"533";1999;"SVN";NA;71.725494061074
"534";2000;"SVN";22;72.1676286039063
"535";2001;"SVN";22;72.254014508323
"536";2002;"SVN";22;72.5701012962349
"537";2003;"SVN";NA;72.5239359832406
"538";2004;"SVN";NA;73.521198558873
"539";2005;"SVN";23.8;73.9534035648112
"540";2006;"SVN";23.7;74.3970775826943
"541";2007;"SVN";23.2;74.6024433366779
"542";2008;"SVN";23.4;75.4155287312372
"543";2009;"SVN";22.7;75.7528210535392
"544";2010;"SVN";23.8;76.2801800857964
"545";2011;"SVN";23.8;76.6163713982305
"546";2012;"SVN";23.7;76.9582426491993
"547";2013;"SVN";24.4;76.9866044586543
"548";2014;"SVN";25;77.9645482318018
"549";2015;"SVN";24.5;77.5895011290791
"550";2016;"SVN";24.4;77.9602620592392
"551";2017;"SVN";23.7;78.0725510095821
"552";2018;"SVN";23.4;NA
"553";1995;"SWE";NA;76.1757297494285
"554";1996;"SWE";NA;76.5147976784088
"555";1997;"SWE";21;76.7010864757203
"556";1998;"SWE";NA;76.869679671493
"557";1999;"SWE";22;77.0687725334562
"558";2000;"SWE";NA;77.3755022313498
"559";2001;"SWE";24;77.5398054026255
"560";2002;"SWE";23;77.7120332609792
"561";2003;"SWE";NA;77.9027913020822
"562";2004;"SWE";23;78.3514682772502
"563";2005;"SWE";23.4;78.4262142805342
"564";2006;"SWE";24;78.6940076311043
"565";2007;"SWE";23.4;78.9257253089027
"566";2008;"SWE";25.1;79.0945271474287
"567";2009;"SWE";26.3;79.3356520455915
"568";2010;"SWE";25.5;79.5176105990566
"569";2011;"SWE";26;79.7980838982423
"570";2012;"SWE";26;79.867652559835
"571";2013;"SWE";26;80.1026993097419
"572";2014;"SWE";26.9;80.3517399148214
"573";2015;"SWE";26.7;80.3173090020102
"574";2016;"SWE";27.6;80.5631660181051
"575";2017;"SWE";28;80.7267718689692
"576";2018;"SWE";27;80.7946181948848
