,trans,ABG,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high,index,country,date,trans,ABG,infexp,infrate,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread
956,12.0,6.0857540000000006,2.67,1.29,1.3835542969999999,1.384215529,0.296399978,0.28712914300000003,0.277274294,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.742138364779874,0.2578616352201259,0.0,0.7421383647798742,0.2578616352201259,0.0,0.742138364779874,0.2578616352201259,0.0,0.7421383647798742,0.2578616352201259,956,uk,15,12.0,6.0857540000000006,2.67,1.506849315,1.29,1.3835542969999999,1.384215529,0.296399978,0.28712914300000003,0.277274294
957,12.0,0.283,2.69,1.4,1.428383155,1.410352049,0.287039403,0.259112106,0.269396973,0.0,1.0,0.0,0.0,0.7652366037705656,0.23476339622943454,0.0,0.7169811320754715,0.28301886792452846,0.0,0.7169811320754715,0.2830188679245284,0.0,0.7169811320754715,0.28301886792452846,0.0,0.7169811320754715,0.28301886792452846,957,uk,16,12.0,0.283,2.69,1.36239782,1.4,1.428383155,1.410352049,0.287039403,0.259112106,0.269396973
958,12.0,4.379186,2.68,1.34,1.4073378330000001,1.304509406,0.290022705,0.24668388100000002,0.261136925,0.0,1.0,0.0,0.0,0.20977429937412623,0.7902257006258738,0.0,0.7295597484276726,0.2704402515723275,0.0,0.7295597484276725,0.27044025157232743,0.0,0.7295597484276725,0.27044025157232743,0.0,0.7295597484276726,0.27044025157232743,958,uk,17,12.0,4.379186,2.68,0.810810811,1.34,1.4073378330000001,1.304509406,0.290022705,0.24668388100000002,0.261136925
959,12.0,1.088732,2.64,1.17,1.02587888,0.928995116,0.384608503,0.275550328,0.278470102,0.0,1.0,0.0,0.0,0.6559755122464132,0.344024487753587,0.0,0.7798742138364776,0.22012578616352235,0.0,0.7798742138364777,0.22012578616352238,0.0,0.7798742138364777,0.22012578616352235,0.0,0.7798742138364776,0.22012578616352238,959,uk,18,12.0,1.088732,2.64,0.674763833,1.17,1.02587888,0.928995116,0.384608503,0.275550328,0.278470102
960,12.0,0.7639999999999999,2.44,1.09,0.9485763709999999,0.921053707,0.36017886200000004,0.28428258300000003,0.27501655,0.0,1.0,0.0,0.0,0.7000107159777047,0.29998928402229535,0.034482758620689544,0.9655172413793105,0.0,0.034482758620689544,0.9655172413793105,0.0,0.03448275862068954,0.9655172413793104,0.0,0.03448275862068954,0.9655172413793105,0.0,960,uk,19,12.0,0.7639999999999999,2.44,1.086956522,1.09,0.9485763709999999,0.921053707,0.36017886200000004,0.28428258300000003,0.27501655
961,12.0,-0.7639999999999999,2.4,0.98,1.263277296,1.244209292,0.320912865,0.256325063,0.26981848199999997,0.0,1.0,0.0,0.0,0.9072147836440069,0.09278521635599328,0.08965517241379305,0.9103448275862069,0.0,0.08965517241379305,0.9103448275862069,0.0,0.08965517241379305,0.9103448275862069,0.0,0.08965517241379305,0.9103448275862069,0.0,961,uk,20,12.0,-0.7639999999999999,2.4,0.947225981,0.98,1.263277296,1.244209292,0.320912865,0.256325063,0.26981848199999997
962,12.0,-6.816835,2.41,0.89,0.861899011,1.007385583,0.237197388,0.23787431399999998,0.270817966,0.0,1.0,0.0,0.5689755584589133,0.4310244415410866,0.0,0.07586206896551687,0.924137931034483,0.0,0.07586206896551685,0.9241379310344832,0.0,0.07586206896551687,0.9241379310344832,0.0,0.07586206896551687,0.924137931034483,0.0,962,uk,21,12.0,-6.816835,2.41,0.944669366,0.89,0.861899011,1.007385583,0.237197388,0.23787431399999998,0.270817966
963,12.0,1.218027,2.37,1.0,1.215657047,1.080064836,0.234166887,0.18561177199999998,0.264457163,0.0,1.0,0.0,0.0,0.6384424952772282,0.36155750472277187,0.13103448275862037,0.8689655172413796,0.0,0.13103448275862037,0.8689655172413796,0.0,0.13103448275862037,0.8689655172413796,0.0,0.13103448275862037,0.8689655172413796,0.0,963,uk,22,12.0,1.218027,2.37,1.353179973,1.0,1.215657047,1.080064836,0.234166887,0.18561177199999998,0.264457163
964,12.0,-6.8549489999999995,2.43,1.16,1.323106673,1.363961849,0.297760947,0.184715383,0.26284279899999996,0.0,1.0,0.0,0.5730149589314559,0.42698504106854407,0.0,0.04827586206896511,0.9517241379310348,0.0,0.04827586206896511,0.9517241379310349,0.0,0.048275862068965114,0.9517241379310348,0.0,0.048275862068965114,0.9517241379310349,0.0,964,uk,23,12.0,-6.8549489999999995,2.43,1.490514905,1.16,1.323106673,1.363961849,0.297760947,0.184715383,0.26284279899999996
965,12.0,5.0013890000000005,2.44,1.27,1.3851898059999999,1.347009086,0.288983981,0.18812494100000002,0.258417345,0.0,1.0,0.0,0.0,0.1254006131737491,0.8745993868262509,0.034482758620689544,0.9655172413793105,0.0,0.034482758620689544,0.9655172413793105,0.0,0.03448275862068954,0.9655172413793104,0.0,0.03448275862068954,0.9655172413793105,0.0,965,uk,24,12.0,5.0013890000000005,2.44,1.621621622,1.27,1.3851898059999999,1.347009086,0.288983981,0.18812494100000002,0.258417345
966,12.0,3.8995859999999998,2.41,1.35,1.512993438,1.48349868,0.281167282,0.19597178199999998,0.258811949,0.0,1.0,0.0,0.0,0.27481034050813047,0.7251896594918695,0.07586206896551687,0.924137931034483,0.0,0.07586206896551685,0.9241379310344832,0.0,0.07586206896551687,0.9241379310344832,0.0,0.07586206896551687,0.924137931034483,0.0,966,uk,25,12.0,3.8995859999999998,2.41,1.356852103,1.35,1.512993438,1.48349868,0.281167282,0.19597178199999998,0.258811949
967,12.0,-4.18629,2.35,1.49,1.099883308,1.217525197,0.252888819,0.18463612100000001,0.25490135,0.0,1.0,0.0,0.29018496403049854,0.7098150359695015,0.0,0.15862068965517212,0.8413793103448278,0.0,0.15862068965517212,0.8413793103448278,0.0,0.15862068965517212,0.8413793103448279,0.0,0.15862068965517212,0.8413793103448279,0.0,967,uk,26,12.0,-4.18629,2.35,1.62601626,1.49,1.099883308,1.217525197,0.252888819,0.18463612100000001,0.25490135
968,12.0,4.884857,2.31,1.54,1.5770106640000001,1.529484869,0.13138613300000002,0.23561249,0.261382575,0.0,1.0,0.0,0.0,0.14120290663794383,0.8587970933620562,0.21379310344827562,0.7862068965517244,0.0,0.21379310344827562,0.7862068965517244,0.0,0.21379310344827565,0.7862068965517244,0.0,0.21379310344827562,0.7862068965517244,0.0,968,uk,27,12.0,4.884857,2.31,1.619433198,1.54,1.5770106640000001,1.529484869,0.13138613300000002,0.23561249,0.261382575
969,12.0,3.480753,2.31,1.54,1.417066269,1.4392859409999998,0.109339961,0.233622258,0.256853327,0.0,1.0,0.0,0.0,0.33160608741446573,0.6683939125855343,0.21379310344827562,0.7862068965517244,0.0,0.21379310344827562,0.7862068965517244,0.0,0.21379310344827565,0.7862068965517244,0.0,0.21379310344827562,0.7862068965517244,0.0,969,uk,28,12.0,3.480753,2.31,1.478494624,1.54,1.417066269,1.4392859409999998,0.109339961,0.233622258,0.256853327
970,12.0,-6.174364,2.27,1.46,1.3796110540000002,1.371719605,0.17360078399999998,0.23354129699999998,0.252304065,0.0,1.0,0.0,0.5008851543818046,0.4991148456181954,0.0,0.2689655172413791,0.7310344827586208,0.0,0.2689655172413791,0.7310344827586208,0.0,0.2689655172413791,0.7310344827586208,0.0,0.2689655172413791,0.7310344827586208,0.0,970,uk,29,12.0,-6.174364,2.27,1.206434316,1.46,1.3796110540000002,1.371719605,0.17360078399999998,0.23354129699999998,0.252304065
971,12.0,0.25,2.26,1.4,1.201867898,1.187486387,0.224403293,0.214363566,0.24978404,0.0,1.0,0.0,0.0,0.7697115607293272,0.23028843927067277,0.2827586206896553,0.7172413793103446,0.0,0.28275862068965535,0.7172413793103447,0.0,0.2827586206896553,0.7172413793103447,0.0,0.2827586206896553,0.7172413793103447,0.0,971,uk,30,12.0,0.25,2.26,1.072386059,1.4,1.201867898,1.187486387,0.224403293,0.214363566,0.24978404
972,12.0,-2.059025,2.2,1.32,1.0892379079999999,1.145002295,0.236877153,0.216628488,0.246380711,0.0,1.0,0.0,0.06473302389765094,0.935266976102349,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,972,uk,31,12.0,-2.059025,2.2,1.2096774190000001,1.32,1.0892379079999999,1.145002295,0.236877153,0.216628488,0.246380711
973,12.0,-6.580551,2.23,1.26,1.264142996,1.263792607,0.200785093,0.17611683600000003,0.24265375399999997,0.0,1.0,0.0,0.5439336919202593,0.45606630807974063,0.0,0.32413793103448263,0.6758620689655173,0.0,0.32413793103448263,0.6758620689655174,0.0,0.32413793103448263,0.6758620689655174,0.0,0.32413793103448263,0.6758620689655174,0.0,973,uk,32,12.0,-6.580551,2.23,1.3404825740000001,1.26,1.264142996,1.263792607,0.200785093,0.17611683600000003,0.24265375399999997
974,12.0,4.381161,2.25,1.26,1.3401034,1.3223992740000001,0.162012422,0.177300075,0.23918735600000002,0.0,1.0,0.0,0.0,0.2095064799803822,0.7904935200196178,0.2965517241379309,0.703448275862069,0.0,0.2965517241379309,0.7034482758620692,0.0,0.29655172413793085,0.7034482758620692,0.0,0.2965517241379309,0.7034482758620692,0.0,974,uk,33,12.0,4.381161,2.25,1.470588235,1.26,1.3401034,1.3223992740000001,0.162012422,0.177300075,0.23918735600000002
975,12.0,9.394314000000001,2.15,1.31,1.4219845880000002,1.404820034,0.159828484,0.178928222,0.236872256,0.0,1.0,0.0,0.0,0.0,1.0,0.43448275862068964,0.5655172413793103,0.0,0.4344827586206897,0.5655172413793104,0.0,0.43448275862068964,0.5655172413793104,0.0,0.43448275862068964,0.5655172413793104,0.0,975,uk,34,12.0,9.394314000000001,2.15,1.468624833,1.31,1.4219845880000002,1.404820034,0.159828484,0.178928222,0.236872256
976,12.0,4.909038,2.2,1.36,1.429839914,1.3770147940000002,0.154148435,0.138173664,0.23357894199999998,0.0,1.0,0.0,0.0,0.13792384802522212,0.8620761519747778,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,976,uk,35,12.0,4.909038,2.2,1.335113485,1.36,1.429839914,1.3770147940000002,0.154148435,0.138173664,0.23357894199999998
977,12.0,6.165228000000001,2.19,1.39,1.356429011,1.285176067,0.09852269300000001,0.139835936,0.230326665,0.0,1.0,0.0,0.0,0.0,1.0,0.37931034482758613,0.6206896551724138,0.0,0.37931034482758613,0.6206896551724139,0.0,0.3793103448275862,0.6206896551724138,0.0,0.37931034482758613,0.6206896551724138,0.0,977,uk,36,12.0,6.165228000000001,2.19,1.329787234,1.39,1.356429011,1.285176067,0.09852269300000001,0.139835936,0.230326665
978,12.0,6.232295,2.19,1.42,1.37867341,1.31595105,0.07428317,0.137773431,0.22722300199999998,0.0,1.0,0.0,0.0,0.0,1.0,0.37931034482758613,0.6206896551724138,0.0,0.37931034482758613,0.6206896551724139,0.0,0.3793103448275862,0.6206896551724138,0.0,0.37931034482758613,0.6206896551724138,0.0,978,uk,37,12.0,6.232295,2.19,1.472556894,1.42,1.37867341,1.31595105,0.07428317,0.137773431,0.22722300199999998
979,12.0,0.8140000000000001,2.18,1.39,1.49587101,1.418372021,0.075530691,0.092321234,0.225541063,0.0,1.0,0.0,0.0,0.693230478161399,0.30676952183860107,0.39310344827586174,0.6068965517241383,0.0,0.39310344827586174,0.6068965517241383,0.0,0.39310344827586174,0.6068965517241383,0.0,0.3931034482758617,0.6068965517241383,0.0,979,uk,38,12.0,0.8140000000000001,2.18,1.333333333,1.39,1.49587101,1.418372021,0.075530691,0.092321234,0.225541063
980,12.0,2.6580040000000005,2.26,1.31,1.230179594,1.272682625,0.14906229199999999,0.09669532,0.222992844,0.0,1.0,0.0,0.0,0.4431747650770196,0.5568252349229804,0.2827586206896553,0.7172413793103446,0.0,0.28275862068965535,0.7172413793103447,0.0,0.2827586206896553,0.7172413793103447,0.0,0.2827586206896553,0.7172413793103447,0.0,980,uk,39,12.0,2.6580040000000005,2.26,1.062416999,1.31,1.230179594,1.272682625,0.14906229199999999,0.09669532,0.222992844
981,12.0,7.055631,2.3,1.28,1.119895289,1.115204615,0.14154468,0.10048507,0.222530224,0.0,1.0,0.0,0.0,0.0,1.0,0.22758620689655182,0.7724137931034482,0.0,0.22758620689655182,0.7724137931034483,0.0,0.22758620689655182,0.7724137931034482,0.0,0.22758620689655182,0.7724137931034482,0.0,981,uk,40,12.0,7.055631,2.3,1.19205298,1.28,1.119895289,1.115204615,0.14154468,0.10048507,0.222530224
982,12.0,12.948793,2.29,1.3,1.34713932,1.277746164,0.15756726,0.094906731,0.22007843300000002,0.0,1.0,0.0,0.0,0.0,1.0,0.24137931034482737,0.7586206896551726,0.0,0.24137931034482737,0.7586206896551726,0.0,0.2413793103448274,0.7586206896551726,0.0,0.2413793103448274,0.7586206896551726,0.0,982,uk,41,12.0,12.948793,2.29,1.4569536419999998,1.3,1.34713932,1.277746164,0.15756726,0.094906731,0.22007843300000002
983,12.0,12.94964,2.23,1.33,1.44898657,1.4189002119999998,0.196317767,0.095201508,0.219043045,0.0,1.0,0.0,0.0,0.0,1.0,0.32413793103448263,0.6758620689655173,0.0,0.32413793103448263,0.6758620689655174,0.0,0.32413793103448263,0.6758620689655174,0.0,0.32413793103448263,0.6758620689655174,0.0,983,uk,42,12.0,12.94964,2.23,1.5915119359999998,1.33,1.44898657,1.4189002119999998,0.196317767,0.095201508,0.219043045
984,12.0,3.109101,2.2,1.35,1.5448226969999999,1.471338684,0.194923846,0.096774115,0.217946781,0.0,1.0,0.0,0.0,0.38200386631257865,0.6179961336874213,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,0.36551724137930997,0.63448275862069,0.0,984,uk,43,12.0,3.109101,2.2,1.4608233730000002,1.35,1.5448226969999999,1.471338684,0.194923846,0.096774115,0.217946781
